year,climate_zone,continent,mean_intensity,record_freq,max_streak,pct_above_p90
1860,Polar,Ocean / Unclassified,0.8097,0.0597,1,0.097
1860,Temperate,Africa,0.5705,0.1519,3,0.1481
1860,Temperate,Antarctica,0.6401,0.0243,1,0.0312
1860,Temperate,Asia,0.3557,0.0719,3,0.1088
1860,Temperate,Australia-Oceania,0.5393,0.1373,2,0.1716
1860,Temperate,Europe,0.3413,0.0805,2,0.0862
1860,Temperate,North America,0.4575,0.0828,2,0.1098
1860,Temperate,Ocean / Unclassified,0.6485,0.127,3,0.182
1860,Temperate,South America,0.541,0.1167,2,0.2389
1860,Tropical,Africa,0.4559,0.1303,3,0.1121
1860,Tropical,Asia,0.5606,0.0611,2,0.0687
1860,Tropical,Australia-Oceania,0.5404,0.0913,1,0.1298
1860,Tropical,North America,0.628,0.0417,1,0.0208
1860,Tropical,Ocean / Unclassified,0.6687,0.0965,2,0.1201
1860,Tropical,South America,0.3563,0.0556,3,0.0556
1861,Polar,Antarctica,0.8388,0.1146,3,0.2801
1861,Polar,Asia,0.5525,0.0,0,0.0819
1861,Polar,Europe,0.5347,0.0,0,0.0
1861,Polar,North America,0.6429,0.1,2,0.1312
1861,Polar,Ocean / Unclassified,0.8256,0.2239,2,0.5075
1861,Temperate,Africa,0.568,0.1222,3,0.1444
1861,Temperate,Antarctica,0.6433,0.0382,1,0.0729
1861,Temperate,Asia,0.359,0.093,2,0.1912
1861,Temperate,Australia-Oceania,0.5518,0.098,3,0.1324
1861,Temperate,Europe,0.3416,0.0575,1,0.0057
1861,Temperate,North America,0.4538,0.0608,2,0.1233
1861,Temperate,Ocean / Unclassified,0.6464,0.036,2,0.1202
1861,Temperate,South America,0.5349,0.0889,2,0.1333
1861,Tropical,Africa,0.4551,0.1273,2,0.0909
1861,Tropical,Asia,0.5662,0.0267,3,0.0534
1861,Tropical,Australia-Oceania,0.5429,0.0048,1,0.0577
1861,Tropical,North America,0.6228,0.0521,2,0.0208
1861,Tropical,Ocean / Unclassified,0.6703,0.0846,2,0.1575
1861,Tropical,South America,0.3594,0.0722,4,0.0667
1862,Polar,Antarctica,0.8381,0.1435,3,0.2442
1862,Polar,Asia,0.5614,0.0216,1,0.0302
